"square_meters","bathrooms_number","lift","rooms_number","car_parking","condominium_fees","conditions","floor","heating_centralized","selling_price","fireplace","hydromassage","video_entryphone","terrace","security_door","tavern","optic_fiber","electric_gate","pool","tennis_court","alarm_system","attic","balcony","cellar","closet","reception","concierge","furnished","garden","exposure","window_glass","window_material","zona_new","year","total_floors","house_efficiency"
135,"2","yes","3","none",417,"excellent / refurbished","2","central",1125000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","other","other","other","quadronno - crocetta","Very Old",7,"Low"
57,"1","yes","2","garage/box",0,"excellent / refurbished","1","central",5e+05,"no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no",0.5,0.5,"no garden","single","other","other","porta romana - medaglie d'oro","Recent/New",7,"Med"
92,"1","yes","3","none",200,"excellent / refurbished","1","central",395000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",0.5,1,"shared","single","other","other","gallaratese","Old",8,"Med"
63,"1","no","2","none",208,"excellent / refurbished","mezzanine","central",340000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no",1,0,"no garden","other","other","other","martini - insubria","Old",8,"Low"
38,"1","no","1","none",80,"excellent / refurbished","1","independent",199000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,1,"no garden","single","other","other","navigli - darsena","Very Old",4,"Low"
45,"1","no","1","none",100,"good condition / liveable","1","central",299000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","yes","no","no",0,1,"no garden","single","other","wood","porta romana - medaglie d'oro","Very Old",5,"Low"
60,"1","no","2","none",167,"good condition / liveable","5","central",145000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",0,1,"no garden","single","other","other","giambellino","Old",6,"Low"
230,"3","yes","5+","none",600,"to be refurbished","1","central",1400000,"no","no","no","no","yes","no","no","yes","no","no","no","no","yes","yes","yes","no",0.5,0,"no garden","double","other","other","morgagni","Modern",6,"Low"
50,"1","no","2","none",200,"excellent / refurbished","2","independent",590000,"no","no","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no",0,1,"no garden","single","other","other","ticinese","Very Old",3,"Low"
170,"2","yes","4","none",500,"good condition / liveable","6","central",1290000,"no","no","no","yes","yes","no","no","no","no","no","no","no","yes","yes","no","no",0.5,0,"no garden","double","other","wood","de angeli","Modern",6,"Low"
66,"1","yes","2","none",100,"new / under construction","semi-basement","independent",419000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no",1,1,"shared","single","other","other","palestro","Modern",8,"High"
60,"2","yes","2","none",60,"excellent / refurbished","ground floor","independent",220000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no",0,1,"no garden","single","other","other","cermenate - abbiategrasso","Very Old",3,"Med"
60,"1","no","2","none",150,"good condition / liveable","1","central",199000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","no","yes","no",0,1,"no garden","single","other","other","vigentino - fatima","Very Old",1,"Low"
70,"1","yes","3","none",200,"excellent / refurbished","mezzanine","central",350000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","no","no",0,0,"no garden","double","other","other","rovereto","Old",4,"Low"
85,"2","yes","2","none",250,"good condition / liveable","3","independent",1050000,"yes","yes","no","no","yes","no","yes","yes","no","no","no","no","no","yes","yes","no",0.5,1,"no garden","double","other","wood","duomo","Very Old",4,"Low"
86,"1","yes","3","garage/box",250,"excellent / refurbished","8","central",465000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,0,"shared","double","triple","other","pezzotti - meda","Old",8,"Low"
40,"1","yes","2","none",70,"new / under construction","2","independent",230000,"no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",0,0,"no garden","double","other","other","dergano","Recent/New",3,"High"
110,"1","yes","4","none",250,"good condition / liveable","1","central",495000,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",0,0,"no garden","other","other","wood","ghisolfa - mac mahon","Old",5,"Low"
117,"2","yes","4","none",0,"new / under construction","ground floor","independent",255000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,0.5,"shared","single","other","other","crescenzago","Old",8,"Low"
400,"1","yes","3","none",290,"good condition / liveable","7","central",540000,"yes","yes","yes","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no",1,1,"no garden","single","other","other","villa san giovanni","Modern",8,"Med"
127,"2","no","3","none",174,"excellent / refurbished","2","independent",730000,"no","no","no","yes","yes","no","yes","no","no","no","yes","no","yes","no","yes","no",0,1,"no garden","single","other","other","barona","Modern",2,"Med"
53,"1","yes","2","none",135,"excellent / refurbished","3","central",380000,"no","no","no","no","yes","no","no","yes","no","no","no","no","yes","yes","no","no",0.5,0.5,"no garden","single","other","other","dezza","Old",6,"Med"
70,"1","yes","2","shared",200,"good condition / liveable","3","central",178000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"shared","other","other","other","quartiere olmi","Modern",6,"Low"
59,"1","yes","2","garage/box",200,"excellent / refurbished","4","central",324000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no",1,0,"shared","single","other","other","famagosta","Modern",7,"Med"
